room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Entire home/apt,150,4,1,1,15
Entire home/apt,249,2,14,1.3,232
Private room,97,3,15,0.7,72
Entire home/apt,168,1,2,1.6,32
Entire home/apt,175,4,7,0.2,306
Entire home/apt,349,3,11,0.5,365
Entire home/apt,195,2,4,0.2,123
Private room,150,1,13,0.8,311
Private room,90,1,30,6.1,310
Entire home/apt,325,3,62,1.9,262
Private room,100,2,0,,161
Private room,90,1,4,4,0
Private room,125,1,1,0.1,338
Entire home/apt,325,3,5,0.3,63
Shared room,49,2,10,3.7,64
Private room,200,1,2,0.3,207
Entire home/apt,125,5,35,1,0
Entire home/apt,550,7,2,0.2,0
Entire home/apt,164,3,12,0.8,143
Entire home/apt,275,3,1,0.2,33
Private room,79,2,18,1.3,84
Private room,79,2,15,1,1
Entire home/apt,224,1,0,,35
Entire home/apt,240,2,8,0.5,350
Private room,103,1,14,0.9,357
Entire home/apt,299,2,20,0.7,55
Entire home/apt,168,12,31,0.9,363
Entire home/apt,119,3,14,0.4,22
Private room,89,1,22,0.7,72
Private room,179,1,0,,226
Private room,84,1,38,6.6,281
Entire home/apt,155,7,11,0.6,233
Entire home/apt,140,3,90,3.6,8
Entire home/apt,199,2,1,1,93
Entire home/apt,230,4,3,0.8,352
Private room,90,1,117,6,2
Entire home/apt,295,3,3,0.1,0
Entire home/apt,215,2,10,2.8,108
Private room,275,2,0,,343
Private room,115,2,19,2.6,345
Entire home/apt,220,3,0,,140
Entire home/apt,200,2,0,,144
Entire home/apt,290,2,2,0.4,194
Private room,180,3,21,1.1,346
Entire home/apt,250,6,1,0.1,134
Private room,59,1,6,6,21
Private room,79,1,19,9,32
Private room,175,2,13,0.4,362
Entire home/apt,300,7,3,0.1,108
Private room,125,2,97,4.8,211
Entire home/apt,85,7,74,2.2,244
Entire home/apt,500,3,20,1.2,360
Entire home/apt,95,1,6,0.3,126
Private room,85,30,40,0.8,271
Private room,100,1,0,,280
Private room,80,30,45,1,233
Entire home/apt,150,30,99,2,331
Private room,99,1,18,0.4,341
Entire home/apt,175,3,33,1.8,348
Entire home/apt,130,3,61,1.6,175
Private room,86,1,55,3.8,0
Private room,129,3,98,3.6,20
Entire home/apt,349,5,62,3,261
Entire home/apt,215,2,5,1.4,73
Entire home/apt,122,4,17,1.8,310
Private room,95,1,35,7,279
Entire home/apt,600,1,0,,336
Entire home/apt,325,2,27,1.9,122
Entire home/apt,120,1,2,0.9,247
Private room,159,1,0,,352
Entire home/apt,125,1,1,0.1,196
Entire home/apt,375,2,0,,172
Private room,90,2,0,,146
Private room,85,2,0,,131
Entire home/apt,195,1,35,3.6,8
Private room,140,1,11,1.2,342
Private room,72,2,1,0.2,165
Entire home/apt,240,3,5,1.2,365
Entire home/apt,395,2,8,1.6,207
Entire home/apt,995,3,4,1.1,267
Entire home/apt,325,3,2,1,303
Private room,85,7,1,1,26
Entire home/apt,189,2,6,0.6,149
Private room,95,4,3,0.1,216
Private room,99,2,0,,359
Private room,99,1,21,1,364
Private room,92,7,0,,365
Entire home/apt,175,1,4,4,36
Private room,100,1,2,0.3,216
Private room,135,3,16,1.7,349
Entire home/apt,200,2,6,0.6,223
Entire home/apt,9999,1,4,0.3,151
Private room,100,1,0,,334
Private room,90,1,24,5.2,263
Private room,70,3,9,0.6,146
Shared room,98,1,5,4.7,345
Private room,110,2,60,2.4,324
Private room,70,3,33,0.9,191
Entire home/apt,240,3,18,0.8,246
Private room,89,2,161,5,316
Private room,115,1,18,0.9,332
Entire home/apt,250,3,0,,0
Private room,99,1,23,1.1,359
Private room,135,1,1,0.8,124
Entire home/apt,199,3,0,,0
Shared room,53,3,3,1.6,268
Entire home/apt,6969,3,1,0.1,135
Shared room,53,3,5,2.6,269
Shared room,53,3,0,,334
Shared room,55,3,6,2.3,315
Shared room,55,3,4,1.5,270
Shared room,55,3,4,1.4,250
Shared room,53,3,2,1.4,263
Shared room,55,3,2,1.1,277
Entire home/apt,180,2,1,1,305
Shared room,55,3,0,,285
Entire home/apt,165,3,36,7.6,203
Entire home/apt,525,3,0,,249
Private room,116,1,1,0.1,205
Entire home/apt,138,2,7,1,219
Entire home/apt,265,3,8,0.8,365
Private room,75,2,5,4.1,334
Private room,95,2,0,,349
Entire home/apt,165,4,12,0.8,213
Entire home/apt,145,1,14,0.7,356
Private room,99,1,13,1.1,365
Private room,145,1,2,0.2,339
Private room,105,2,13,2.8,300
Entire home/apt,140,1,11,1.9,131
Entire home/apt,100,1,39,1.8,1
Entire home/apt,250,2,9,0.4,51
Private room,150,2,35,3.7,27
Private room,110,1,0,,336
Private room,85,1,6,0.6,190
Private room,185,2,4,0.5,246
Entire home/apt,300,5,0,,70
Shared room,55,7,1,0.1,361
Entire home/apt,300,2,0,,217
Entire home/apt,160,2,6,3.7,133
Entire home/apt,140,3,1,0.2,175
Private room,100,1,0,,138
Entire home/apt,180,7,1,0.2,158
Private room,120,2,18,1.2,347
Entire home/apt,190,5,6,0.2,10
Entire home/apt,195,2,6,1.9,126
Entire home/apt,120,3,2,0.4,155
Shared room,119,1,2,0.3,363
Private room,140,2,5,0.6,123
Entire home/apt,140,1,30,6,286
Entire home/apt,300,1,16,3.2,30
Entire home/apt,165,2,5,0.7,137
Private room,99,1,0,,125
Private room,100,30,82,4.8,365
Private room,150,2,4,0.6,58
Entire home/apt,129,3,10,0.7,199
Private room,145,2,34,2.8,339
Private room,100,2,8,2.5,316
Entire home/apt,545,5,7,0.3,315
Entire home/apt,120,3,4,0.4,33
Private room,150,1,0,,365
Private room,99,1,2,2,149
Entire home/apt,179,3,5,0.5,219
Entire home/apt,155,14,0,,289
Entire home/apt,210,10,4,0.2,275
Private room,70,10,1,0.3,365
Entire home/apt,235,3,1,0.9,326
Entire home/apt,160,1,4,3.2,45
Private room,100,2,8,1.5,353
Entire home/apt,180,3,27,0.7,16
Private room,141,3,104,3.6,43
Private room,75,1,1,0.1,245
Entire home/apt,130,2,30,6,47
Entire home/apt,150,3,0,,152
Entire home/apt,165,2,54,1.5,1
Entire home/apt,205,6,10,1.1,297
Entire home/apt,585,5,8,1,314
Private room,99,1,24,1.1,339
Entire home/apt,195,3,48,3.2,294
Entire home/apt,169,3,37,2.4,0
Entire home/apt,150,2,22,1,126
Entire home/apt,195,3,6,0.1,243
Entire home/apt,199,3,17,0.7,205
Private room,90,1,0,,364
Private room,125,1,8,0.3,365
Entire home/apt,130,3,2,2,329
Private room,100,4,0,,365
Shared room,55,1,75,1.7,319
Entire home/apt,200,2,21,1.1,269
Entire home/apt,650,4,3,0.3,317
Private room,79,1,22,0.9,325
Private room,60,2,0,,243
Shared room,55,7,3,0.3,365
Private room,110,1,111,3.2,125
Entire home/apt,180,3,4,0.1,359
Entire home/apt,150,2,66,3.3,350
Entire home/apt,199,2,9,2.7,105
Shared room,49,2,12,4.5,42
Shared room,49,2,7,2.5,52
Private room,100,1,45,2.5,194
Entire home/apt,145,2,19,0.7,289
Entire home/apt,210,2,13,1,339
Private room,69,1,74,7.5,274
Shared room,55,7,0,,365
Entire home/apt,165,2,15,2.2,303
Shared room,55,7,0,,294
Entire home/apt,195,1,70,8,0
Shared room,55,7,0,,365
Private room,94,2,0,,14
Shared room,55,7,1,0.1,365
Shared room,55,7,0,,365
Shared room,55,7,0,,365
Entire home/apt,195,4,22,0.5,313
Entire home/apt,170,3,39,1.9,155
Private room,88,10,0,,352
Entire home/apt,105,7,27,1.5,245
Private room,250,2,0,,122
Private room,98,2,144,6,191
Private room,125,2,23,1.1,66
Entire home/apt,650,5,10,0.2,318
Entire home/apt,240,3,184,2.7,305
Entire home/apt,195,4,43,2.1,99
Entire home/apt,149,2,2,0.2,124
Entire home/apt,219,2,9,0.6,169
Entire home/apt,195,3,93,2.7,302
Private room,99,3,0,,287
Entire home/apt,235,1,0,,246
Entire home/apt,220,10,1,0.2,142
Entire home/apt,190,2,0,,199
Private room,131,2,13,1,365
Entire home/apt,175,4,58,1.9,282
Entire home/apt,169,1,102,5.1,308
Entire home/apt,275,3,17,1.9,258
Entire home/apt,188,3,15,1.7,219
Private room,110,6,8,0.6,258
Entire home/apt,400,5,5,0.3,124
Entire home/apt,650,2,21,1.4,29
Private room,50,1,2,0.4,119
Entire home/apt,200,4,0,,26
Entire home/apt,190,3,64,3.2,279
Entire home/apt,168,4,33,1.6,268
Private room,50,3,2,0.9,47
Private room,120,2,13,1,339
Entire home/apt,225,3,17,2.5,123
Private room,90,1,219,7.3,254
Entire home/apt,189,3,1,0.1,89
Entire home/apt,250,3,34,1,361
Entire home/apt,149,2,12,0.8,33
Entire home/apt,165,1,38,1.8,44
Entire home/apt,174,1,35,4,258
Entire home/apt,250,2,32,0.8,130
Entire home/apt,300,1,6,0.2,273
Entire home/apt,513,3,2,0.2,292
Entire home/apt,400,2,10,1.3,365
Entire home/apt,225,7,5,0.2,256
Private room,158,3,2,0.2,246
Entire home/apt,185,7,2,0.5,325
Private room,130,1,6,0.7,365
Private room,169,2,35,2.2,354
Private room,180,4,0,,303
Private room,60,7,3,0.9,90
Private room,75,2,1,0.2,15
Private room,98,5,3,0.2,365
Entire home/apt,225,1,48,2.9,249
Private room,110,1,38,1.9,0
Private room,84,1,29,5.5,264
Entire home/apt,180,1,6,1.6,255
Private room,199,1,137,8,125
Private room,135,20,4,0.1,172
Private room,90,1,19,4.3,255
Private room,75,7,0,,321
Entire home/apt,179,2,25,2.4,290
Private room,249,1,4,0.4,361
Entire home/apt,165,2,20,0.5,316
Private room,150,1,8,1.9,347
Private room,300,1,1,1,364
Private room,115,2,124,2.8,74
Entire home/apt,168,1,17,1.2,351
Entire home/apt,168,2,0,,146
Private room,100,27,0,,40
Entire home/apt,135,1,1,0.1,201
Entire home/apt,300,2,14,0.4,247
Private room,75,5,10,1.1,142
Entire home/apt,166,4,0,,41
Private room,150,1,1,0.4,315
Entire home/apt,650,3,36,4.2,157
Private room,90,3,0,,164
Private room,115,1,3,3,177
Private room,125,1,15,1.1,297
Private room,85,1,28,2.6,219
Private room,91,1,53,3.6,291
Private room,95,1,62,4,275
Entire home/apt,155,1,16,0.7,365
Private room,133,2,44,3.3,356
Entire home/apt,140,6,15,0.6,0
Entire home/apt,170,4,5,0.3,365
Entire home/apt,99,30,8,1,263
Entire home/apt,200,7,0,,295
Entire home/apt,199,1,10,0.5,0
Shared room,55,3,6,2.1,275
Entire home/apt,500,7,0,,67
Entire home/apt,195,5,20,2.1,326
Entire home/apt,148,1,25,3,281
Entire home/apt,480,3,6,0.4,286
Private room,79,4,30,2.2,203
Private room,79,4,37,3.2,196
Private room,50,1,24,1.6,359
Entire home/apt,300,1,0,,230
Private room,99,1,34,1.6,257
Entire home/apt,450,3,3,0.3,365
Entire home/apt,265,2,2,0.2,126
Private room,79,5,167,3.6,134
Private room,89,1,52,2.4,348
Entire home/apt,260,5,15,0.8,312
Entire home/apt,650,2,15,1.1,350
Private room,89,1,15,0.6,327
Private room,79,1,28,1.2,154
Entire home/apt,230,1,5,0.7,194
Private room,69,2,24,1.7,269
Entire home/apt,225,3,109,2,306
Private room,99,1,5,3.4,346
Entire home/apt,270,1,2,2,6
Entire home/apt,130,3,33,1.6,309
Private room,99,2,150,3.2,312
Private room,98,2,12,0.9,248
Private room,92,1,76,2.2,297
Private room,59,2,23,1.9,339
Private room,275,3,2,0.2,123
Private room,33,2,2,1.6,256
Private room,89,1,4,0.5,309
Private room,65,1,25,1.6,300
Entire home/apt,110,3,70,3.8,128
Private room,89,5,86,2.8,148
Private room,79,5,30,2.2,160
Entire home/apt,395,2,5,0.2,338
Private room,185,2,0,,365
Private room,79,1,20,1.1,257
Entire home/apt,179,1,11,2.6,75
Entire home/apt,280,5,2,0.2,142
Private room,55,1,20,2.9,353
Private room,98,1,2,2,61
Entire home/apt,249,2,31,1.1,301
Entire home/apt,250,1,5,0.4,219
Private room,150,2,0,,123
Private room,50,1,14,2.9,365
Entire home/apt,125,1,75,1.8,0
Private room,200,2,1,0,365
Entire home/apt,109,4,23,2.1,231
Private room,99,1,24,1,278
Entire home/apt,200,7,0,,15
Private room,93,1,36,1.7,344
Shared room,35,2,3,1.9,261
Entire home/apt,200,3,1,0.2,337
Entire home/apt,310,3,1,0.1,122
Entire home/apt,500,3,0,,353
Entire home/apt,600,3,11,0.7,337
Entire home/apt,750,4,2,0.2,0
Private room,120,1,0,,358
Private room,125,1,14,0.4,361
Entire home/apt,250,1,34,4.4,268
Entire home/apt,300,2,0,,122
Entire home/apt,215,1,1,1,363
Entire home/apt,155,4,12,1.2,12
Private room,95,1,13,1.7,253
Entire home/apt,138,1,57,1.2,91
Private room,180,1,0,,365
Entire home/apt,175,3,19,2.2,299
Private room,69,1,1,0.3,261
Entire home/apt,165,6,9,0.5,227
Private room,99,1,2,2,2
Shared room,28,1,0,,14
Entire home/apt,249,2,13,0.9,302
Private room,170,1,0,,365
Private room,125,3,0,,272
Entire home/apt,149,2,148,3.2,271
Shared room,150,1,1,0.2,198
Entire home/apt,124,1,17,1.8,0
Private room,135,1,24,3,254
Entire home/apt,149,30,41,2.2,103
Private room,80,2,0,,4
Private room,150,1,0,,71
Entire home/apt,395,4,0,,53
Entire home/apt,150,2,11,0.6,0
Private room,150,1,63,1.4,325
Private room,85,2,4,0.1,121
Private room,69,1,1,0.2,360
Private room,90,1,0,,205
Entire home/apt,115,1,7,3.3,165
Private room,110,2,2,0.1,123
Private room,65,4,3,0.2,286
Private room,90,1,3,0.2,277
Private room,115,3,69,2.9,349
Shared room,115,1,1,0.1,274
Private room,125,3,19,1.4,327
Entire home/apt,165,2,3,0.1,134
Private room,60,1,16,5.8,275
Entire home/apt,165,2,21,0.8,248
Private room,95,2,0,,362
Entire home/apt,150,2,0,,59
Entire home/apt,135,2,2,1.1,131
Private room,105,1,21,2.8,346
Entire home/apt,425,5,13,0.3,183
Entire home/apt,350,3,4,0.4,23
Private room,95,1,1,0.1,122
Private room,95,1,33,1.4,122
Entire home/apt,160,2,3,0.1,37
Private room,70,1,4,0.7,65
Private room,79,3,30,1.1,324
Entire home/apt,140,7,31,1.3,310
Private room,65,3,1,0.2,303
Entire home/apt,165,4,63,1.4,214
Private room,95,1,6,2.3,262
Private room,80,1,13,1.5,88
Entire home/apt,99,1,30,4.2,55
Entire home/apt,119,3,67,2.2,224
Entire home/apt,375,3,18,1.6,51
Private room,88,1,2,0.3,206
Entire home/apt,135,3,0,,188
Entire home/apt,165,4,15,0.6,123
Entire home/apt,300,3,0,,242
Private room,80,7,1,0.2,245
Private room,120,1,42,2.9,325
Private room,360,5,11,0.7,365
Entire home/apt,200,3,1,1,274
Entire home/apt,165,4,17,0.4,169
Private room,120,2,28,2.2,171
Private room,135,1,1,0.1,263
Private room,135,1,0,,262
Private room,159,1,2,0.3,263
Entire home/apt,170,2,5,0.3,0
Entire home/apt,190,3,14,0.6,1
Entire home/apt,250,2,10,1.5,191
Private room,125,1,10,1.2,107
Entire home/apt,250,4,16,1.8,132
Entire home/apt,109,3,9,2.7,211
Entire home/apt,180,1,19,1,5
Entire home/apt,170,2,129,6.2,202
Entire home/apt,250,4,20,1.9,276
Entire home/apt,110,1,62,4.5,282
Entire home/apt,295,1,66,4.6,326
Entire home/apt,200,4,39,2.4,268
Entire home/apt,200,7,0,,112
Entire home/apt,150,2,4,2.4,198
Private room,55,7,0,,274
Private room,75,1,32,2.1,300
Entire home/apt,150,2,39,1.9,230
Entire home/apt,145,2,3,0.3,106
Entire home/apt,350,1,24,1.6,71
Entire home/apt,125,2,53,1.2,337
Private room,123,3,76,3.2,347
Entire home/apt,350,2,8,0.2,86
Entire home/apt,325,2,4,0.4,204
Private room,125,1,1,0,306
Private room,130,3,61,3.9,287
Entire home/apt,180,3,18,5.7,41
Entire home/apt,299,3,0,,33
Entire home/apt,149,1,15,4.5,52
Entire home/apt,119,1,21,4.2,61
Entire home/apt,200,5,3,0.3,306
Private room,85,2,12,0.6,0
Entire home/apt,500,1,12,1.9,296
Entire home/apt,175,2,2,0.2,150
Private room,69,2,11,1.2,0
Entire home/apt,175,2,16,1.3,266
Entire home/apt,130,3,45,1.8,164
Private room,100,2,18,1.3,43
Entire home/apt,149,1,0,,352
Entire home/apt,200,3,25,3.6,175
Private room,69,1,1,0.4,272
Private room,120,4,46,1.3,313
Entire home/apt,204,1,22,3.3,89
Entire home/apt,175,1,14,6.5,6
Entire home/apt,125,3,2,2,187
Entire home/apt,608,4,3,0.1,106
Private room,109,2,56,5.3,50
Private room,109,1,49,4.6,39
Private room,115,1,58,6.1,42
Entire home/apt,350,5,1,0.2,245
Entire home/apt,150,3,2,1,22
Entire home/apt,220,2,6,0.4,212
Entire home/apt,308,3,8,0.4,213
Entire home/apt,200,1,0,,271
Entire home/apt,159,4,4,2,349
Private room,200,1,2,0.3,365
Entire home/apt,250,1,0,,0
Entire home/apt,229,2,9,0.4,348
Private room,185,1,2,2,363
Entire home/apt,190,1,9,0.3,0
Private room,169,1,2,0.6,143
Entire home/apt,275,7,2,0.2,259
Entire home/apt,450,3,21,1.7,365
Entire home/apt,235,6,3,0.8,137
Entire home/apt,230,3,35,2.2,333
Entire home/apt,239,3,23,2.1,337
Private room,107,2,88,4.2,60
Entire home/apt,225,2,40,1.9,338
Entire home/apt,150,1,0,,352
Entire home/apt,390,1,1,1,245
Entire home/apt,119,4,3,1.5,86
Private room,89,2,7,0.9,7
Entire home/apt,180,1,21,2.9,2
Entire home/apt,475,2,0,,282
Entire home/apt,199,3,0,,103
Entire home/apt,150,1,0,,133
Entire home/apt,325,1,0,,123
Entire home/apt,235,2,0,,140
Private room,164,1,0,,228
Entire home/apt,200,4,9,0.5,52
Entire home/apt,130,1,4,2.1,328
Entire home/apt,350,7,6,0.6,307
Entire home/apt,279,1,1,0.5,300
Entire home/apt,169,5,7,0.7,31
Entire home/apt,150,6,2,0.3,194
Shared room,58,3,14,1.8,350
Shared room,49,1,2,1.7,262
Entire home/apt,225,2,9,2,322
Private room,195,3,46,2,77
Entire home/apt,129,4,5,0.2,241
Entire home/apt,150,1,1,0.2,179
Entire home/apt,249,4,1,1,178
Private room,200,3,4,0.5,247
Private room,195,1,3,0.9,85
Entire home/apt,390,7,7,0.2,346
Entire home/apt,400,1,3,0.3,365
Entire home/apt,135,2,0,,340
Entire home/apt,1600,14,0,,365
Entire home/apt,225,2,0,,35
Entire home/apt,120,3,1,0.2,103
Entire home/apt,165,2,40,4.5,45
Entire home/apt,385,3,31,1.6,337
Entire home/apt,375,12,8,1.1,261
Entire home/apt,180,1,26,1.1,123
Entire home/apt,170,3,49,1.8,258
Entire home/apt,199,2,63,3,55
Entire home/apt,139,3,2,0.2,195
Entire home/apt,399,2,13,0.7,365
Private room,100,5,19,2.1,292
Entire home/apt,197,28,23,1.2,236
Private room,43,2,5,5,1
Entire home/apt,239,29,10,0.5,254
Entire home/apt,130,3,17,2.1,196
Private room,98,1,30,2.4,362
Private room,100,2,0,,139
Shared room,30,14,0,,246
Entire home/apt,135,3,8,1.5,275
Entire home/apt,320,4,3,0.1,31
Private room,105,1,8,0.6,132
Entire home/apt,160,2,16,0.5,335
Private room,58,3,1,0.3,139
Private room,110,1,0,,266
Entire home/apt,175,7,1,0.2,132
Private room,59,3,44,3.4,133
Entire home/apt,250,2,8,0.5,347
Private room,152,1,0,,365
Entire home/apt,220,1,1,0.1,152
Entire home/apt,174,2,34,4,292
Entire home/apt,150,2,51,5.8,287
Entire home/apt,200,1,0,,156
Entire home/apt,295,2,2,1,3
Entire home/apt,385,5,21,1,365
Entire home/apt,204,1,64,4,276
Private room,130,7,3,0.8,245
Entire home/apt,170,1,40,1.6,333
Private room,97,1,0,,155
Entire home/apt,159,1,143,4.6,301
Private room,65,1,26,2.4,248
Entire home/apt,160,6,0,,169
Private room,65,5,0,,365
Private room,119,3,1,0.5,361
Entire home/apt,450,3,58,2.3,251
Private room,140,2,1,1,350
Private room,150,7,0,,365
Private room,170,1,38,1.9,353
Private room,120,3,193,4.2,257
Entire home/apt,200,1,0,,128
Entire home/apt,275,1,26,2.4,268
Private room,100,2,0,,15
Entire home/apt,195,2,14,0.7,0
Entire home/apt,195,3,29,0.7,305
Private room,110,1,0,,122
Private room,116,1,3,0.3,212
Entire home/apt,150,2,8,0.4,217
Private room,90,1,0,,57
Entire home/apt,193,2,0,,40
Private room,85,30,7,0.2,354
Entire home/apt,145,4,0,,284
Entire home/apt,250,3,47,2.1,124
Private room,207,1,0,,71
Entire home/apt,400,1,0,,118
Private room,130,30,15,2.1,147
Private room,220,1,0,,365
Private room,99,1,0,,364
Private room,175,1,0,,336
Private room,95,7,3,0.1,330
Private room,79,1,55,0.9,329
Entire home/apt,350,2,66,3.5,145
Entire home/apt,190,30,72,2.4,123
Entire home/apt,215,2,13,0.5,304
Entire home/apt,695,3,6,1.1,283
Entire home/apt,225,1,2,1,336
Private room,90,1,21,2.5,264
Private room,60,10,1,0.3,358
Entire home/apt,168,2,3,0.4,97
Entire home/apt,150,1,157,6,258
Private room,126,7,24,0.7,244
Entire home/apt,169,2,17,0.9,1
Private room,80,1,0,,365
Entire home/apt,300,1,0,,38
Private room,85,1,0,,165
Private room,159,3,21,1.6,186
Entire home/apt,144,2,35,3.7,7
Entire home/apt,200,1,0,,0
Private room,89,1,0,,212
Entire home/apt,225,5,5,0.6,220
Private room,100,1,2,2,0
Entire home/apt,195,2,11,0.8,185
Entire home/apt,224,2,29,1.4,0
Entire home/apt,179,1,26,2.9,334
Entire home/apt,165,3,26,0.7,212
Entire home/apt,400,4,4,0.2,262
Entire home/apt,295,2,110,2.5,258
Entire home/apt,269,2,1,0.2,230
Entire home/apt,500,2,87,2.6,2
Entire home/apt,150,5,0,,223
Entire home/apt,245,5,79,2.4,300
Entire home/apt,200,2,0,,265
Entire home/apt,189,2,1,0,130
Private room,130,1,1,1,361
Entire home/apt,120,3,2,0.2,0
Entire home/apt,290,3,9,0.9,20
Private room,79,2,161,5.5,325
Shared room,70,1,0,,323
Entire home/apt,125,2,24,4.2,225
Private room,73,1,4,1.9,77
Private room,40,30,5,0.1,115
Entire home/apt,148,1,26,4.1,83
Shared room,23,30,41,0.8,264
Private room,70,1,0,,10
Entire home/apt,125,2,14,0.9,339
Private room,83,4,24,0.7,266
Entire home/apt,250,30,0,,223
Entire home/apt,169,1,125,4.6,141
Shared room,43,1,47,1.1,181
Private room,100,2,37,2,233
Private room,130,2,12,0.4,365
Entire home/apt,295,5,0,,80
Entire home/apt,375,3,28,0.7,0
Private room,115,7,0,,338
Entire home/apt,150,3,0,,180
Private room,85,2,23,0.7,355
Entire home/apt,275,3,0,,45
Entire home/apt,399,2,25,3,268
Entire home/apt,269,30,28,1.1,262
Shared room,199,1,0,,332
Entire home/apt,200,2,6,0.5,191
Private room,70,1,7,1.9,337
Entire home/apt,499,4,37,1.9,320
Private room,105,2,0,,162
Entire home/apt,225,5,2,0.5,139
Shared room,53,3,0,,281
Entire home/apt,200,2,6,0.6,0
Private room,110,1,2,0.1,298
Entire home/apt,185,2,0,,12
Entire home/apt,120,2,0,,337
Private room,110,2,18,1.3,317
Entire home/apt,178,5,0,,177
Entire home/apt,99,1,0,,10
Entire home/apt,105,3,57,3.7,294
Entire home/apt,185,2,26,1.3,208
Entire home/apt,325,1,26,0.8,275
Private room,250,1,0,,361
Entire home/apt,425,4,22,1.9,346
Entire home/apt,993,1,0,,183
Private room,185,3,0,,365
Entire home/apt,95,2,12,2.6,282
Private room,100,1,1,0.3,336
Private room,140,2,0,,365
Private room,149,1,0,,365
Entire home/apt,120,1,2,0.2,231
Private room,130,1,0,,365
Entire home/apt,248,2,97,3.8,258
Entire home/apt,179,1,3,0.4,0
Entire home/apt,950,7,5,0.2,358
Entire home/apt,249,1,0,,0
Entire home/apt,1200,1,0,,91
Entire home/apt,275,3,22,0.6,249
Shared room,175,1,0,,210
Private room,500,1,0,,365
Private room,90,1,85,4.5,313
Entire home/apt,350,1,3,1.5,350
Shared room,40,4,11,0.5,294
Entire home/apt,499,2,0,,278
Shared room,70,7,3,0.5,365
Entire home/apt,120,1,160,6.4,279
Private room,170,2,6,1.6,46
Entire home/apt,195,3,46,1.8,308
Entire home/apt,200,2,42,2.6,322
Entire home/apt,155,7,12,1,348
Private room,164,1,1,0.2,190
Private room,210,7,0,,365
Entire home/apt,170,3,69,2.9,263
Shared room,60,4,12,1.1,259
Shared room,60,4,8,0.8,303
Entire home/apt,260,5,2,0.1,86
Entire home/apt,145,4,7,0.8,110
Entire home/apt,250,1,4,1,112
Entire home/apt,149,2,7,2.1,75
Entire home/apt,225,7,25,1.2,323
Entire home/apt,120,2,11,6.9,69
Private room,228,1,0,,18
Entire home/apt,195,3,15,0.4,124
Private room,129,1,32,3.8,353
Entire home/apt,295,3,93,2,334
Entire home/apt,189,1,48,3.6,296
Entire home/apt,185,2,4,1.7,138
Entire home/apt,230,1,0,,142
Private room,95,1,29,3.8,159
Entire home/apt,164,3,50,3.5,286
Private room,68,3,0,,150
Entire home/apt,144,5,16,4,6
Private room,150,1,2,0.1,192
Entire home/apt,148,2,6,0.6,311
Entire home/apt,595,3,27,2.5,303
Private room,119,7,56,1.8,277
Private room,125,2,50,2,317
Entire home/apt,145,2,19,0.5,70
Entire home/apt,40,7,0,,332
Entire home/apt,204,1,0,,150
Entire home/apt,182,3,4,4,77
Entire home/apt,225,2,38,2,304
Entire home/apt,299,30,4,1,0
Entire home/apt,750,3,4,0.2,153
Entire home/apt,365,6,18,0.7,0
Entire home/apt,200,2,9,0.3,285
Entire home/apt,300,3,80,3.5,262
Entire home/apt,189,1,44,1.2,124
Private room,109,2,25,1,363
Entire home/apt,299,1,3,1.6,365
Entire home/apt,200,3,9,0.5,348
Entire home/apt,225,2,3,2.1,38
Entire home/apt,395,2,3,0.1,343
Entire home/apt,145,1,95,5.7,269
Private room,90,1,17,2.5,327
Entire home/apt,145,3,35,3.4,286
Entire home/apt,275,3,2,0.1,280
Entire home/apt,175,3,26,0.8,253
Private room,111,1,77,1.6,242
Entire home/apt,350,2,86,3.5,300
Entire home/apt,595,2,3,0.4,275
Entire home/apt,345,2,10,0.5,129
Shared room,74,1,2,0.3,365
Private room,100,1,21,2.9,285
Entire home/apt,450,1,44,2.5,143
Private room,120,1,0,,87
Private room,100,1,1,0.2,127
Private room,60,2,89,4.5,19
Private room,145,3,0,,155
Entire home/apt,195,2,59,3.1,260
Private room,125,1,5,1.1,0
Private room,145,3,64,2.3,251
Private room,98,2,4,0.4,365
Entire home/apt,180,2,31,1.2,342
Entire home/apt,295,3,32,1.1,352
Entire home/apt,180,14,5,0.4,216
Private room,10,1,0,,0
Entire home/apt,400,3,33,1.3,310
Shared room,43,1,37,1.3,180
Private room,90,1,0,,365
Entire home/apt,199,2,12,0.9,123
Entire home/apt,199,2,15,4,337
Entire home/apt,151,1,0,,335
Entire home/apt,200,2,15,0.9,33
Entire home/apt,225,4,15,1.4,224
Private room,130,2,30,0.8,344
Private room,80,2,13,0.5,119
Entire home/apt,110,2,10,0.3,144
Entire home/apt,200,3,1,0.1,208
Entire home/apt,225,1,0,,95
Entire home/apt,195,5,9,0.8,279
Entire home/apt,1500,3,9,0.4,358
Entire home/apt,220,30,1,0.3,304
Shared room,250,1,0,,0
Entire home/apt,175,2,4,0.4,294
Entire home/apt,175,1,27,1.1,246
Entire home/apt,155,1,37,1.3,149
Private room,83,6,36,1,269
Entire home/apt,180,29,21,0.9,268
Entire home/apt,325,1,84,2.4,262
Entire home/apt,300,3,22,2.4,306
Entire home/apt,290,2,11,2.7,324
Entire home/apt,169,2,0,,135
Private room,180,5,0,,365
Shared room,75,1,0,,365
Private room,80,2,146,3.3,280
Private room,100,7,8,0.3,120
Private room,164,3,0,,365
Entire home/apt,300,30,86,2.9,310
