room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Entire home/apt,279,30,22,1.5,267
Entire home/apt,145,2,19,1.5,273
Entire home/apt,165,1,127,3.8,279
Entire home/apt,700,5,0,,339
Private room,175,2,64,5.5,227
Entire home/apt,189,2,8,0.3,0
Entire home/apt,150,2,81,3.1,130
Entire home/apt,350,4,4,0.1,141
Entire home/apt,135,5,26,2.3,265
Entire home/apt,200,2,57,6,329
Entire home/apt,105,1,1,1,103
Entire home/apt,225,3,39,3.2,325
Private room,125,1,6,1,234
Entire home/apt,550,3,0,,320
Private room,139,1,106,6.3,128
Entire home/apt,199,1,10,5.2,188
Entire home/apt,250,1,6,0.2,197
Entire home/apt,155,1,59,4.1,108
Shared room,129,1,4,0.2,88
Entire home/apt,95,2,182,5.4,179
Entire home/apt,450,2,6,0.6,197
Private room,89,1,3,3,347
Private room,114,1,4,2.6,302
Entire home/apt,175,3,0,,183
Entire home/apt,225,1,78,4.3,318
Private room,129,2,10,2.7,321
Entire home/apt,169,3,13,1.3,129
Entire home/apt,185,3,5,0.3,135
Private room,99,1,78,2.4,362
Private room,125,1,6,1.7,253
Entire home/apt,499,3,2,0.1,305
Entire home/apt,250,1,6,0.3,365
Private room,118,3,21,0.9,318
Entire home/apt,90,14,1,0,123
Private room,125,3,191,3.9,262
Private room,125,1,0,,327
Private room,105,1,1,1,249
Private room,120,1,0,,258
Entire home/apt,350,1,0,,102
Entire home/apt,165,2,3,3,314
Entire home/apt,250,1,0,,355
Private room,190,2,0,,335
Private room,65,1,11,3.6,121
Entire home/apt,335,1,14,1.5,277
Entire home/apt,215,6,35,2.1,224
Private room,100,1,1,0.1,177
Entire home/apt,1200,1,0,,359
Entire home/apt,270,2,27,1,250
Entire home/apt,215,1,0,,47
Entire home/apt,200,3,2,0.1,123
Entire home/apt,125,1,11,0.3,273
Entire home/apt,190,2,35,4.3,2
Private room,148,1,55,4.5,361
Private room,110,1,2,0.2,325
Private room,110,2,3,1.5,334
Entire home/apt,150,3,23,1.7,246
Private room,70,3,0,,59
Private room,100,1,0,,0
Private room,100,1,0,,0
Private room,95,2,16,1.8,245
Private room,129,3,54,2.1,333
Entire home/apt,305,4,1,0,183
Private room,90,1,0,,207
Entire home/apt,300,1,2,0.3,195
Entire home/apt,275,3,11,1.9,333
Entire home/apt,130,1,0,,311
Entire home/apt,139,3,24,2.6,38
Entire home/apt,295,3,13,1,223
Private room,135,1,147,5,342
Shared room,70,2,32,1.8,269
Entire home/apt,139,3,7,0.3,190
Entire home/apt,295,4,17,0.8,335
Private room,100,1,40,4.8,126
Entire home/apt,165,1,5,0.3,232
Private room,103,1,51,2.4,61
Entire home/apt,144,2,29,4,53
Entire home/apt,140,1,1,0.2,197
Entire home/apt,145,2,5,0.6,68
Private room,125,4,0,,135
Entire home/apt,135,2,78,3.2,216
Entire home/apt,175,5,2,0.3,333
Entire home/apt,199,2,6,2.7,11
Entire home/apt,450,3,0,,14
Entire home/apt,160,2,10,0.3,356
Entire home/apt,155,2,6,0.7,212
Private room,80,1,0,,130
Entire home/apt,265,2,0,,85
Private room,95,1,5,5,314
Entire home/apt,155,4,1,1,121
Private room,100,1,83,6,237
Entire home/apt,177,3,70,2.8,220
Private room,85,2,16,0.4,285
Private room,120,1,4,0.4,2
Entire home/apt,400,4,20,2.4,315
Entire home/apt,139,3,0,,120
Entire home/apt,270,3,6,2.1,155
Private room,250,1,1,0.1,221
Entire home/apt,140,2,20,1,121
Private room,60,1,1,0.3,131
Entire home/apt,175,10,3,0.1,32
Entire home/apt,149,30,15,1.8,185
Entire home/apt,160,2,10,0.6,10
Entire home/apt,193,2,3,3,103
Entire home/apt,179,3,111,2.5,327
Entire home/apt,165,4,7,0.3,121
Entire home/apt,139,3,110,2.3,99
Private room,119,2,4,0.1,269
Entire home/apt,190,2,21,0.5,365
Private room,69,1,120,1.7,365
Shared room,75,1,15,1.5,365
Entire home/apt,105,2,10,1.7,154
Entire home/apt,300,3,14,1.3,351
Entire home/apt,136,3,7,0.3,204
Private room,130,1,2,0.3,203
Entire home/apt,165,3,10,0.2,195
Entire home/apt,199,3,14,1.1,253
Entire home/apt,100,3,0,,205
Entire home/apt,204,4,0,,141
Private room,50,3,117,4.7,286
Entire home/apt,375,1,5,0.2,0
Entire home/apt,165,1,2,0.9,123
Private room,99,1,0,,364
Shared room,50,30,11,0.5,275
Entire home/apt,325,14,0,,62
Private room,69,7,3,0.4,280
Entire home/apt,175,4,7,0.1,261
Entire home/apt,95,4,27,1.6,11
Private room,70,3,0,,204
Entire home/apt,166,1,66,1.5,124
Private room,70,1,55,2.5,218
Entire home/apt,130,3,99,3.7,249
Entire home/apt,175,1,9,0.6,293
Entire home/apt,350,30,1,0.2,268
Entire home/apt,129,1,138,6,326
Entire home/apt,90,21,20,0.3,146
Shared room,45,1,0,,365
Private room,130,1,173,4.3,236
Entire home/apt,500,1,1,1,348
Entire home/apt,200,1,1,0.4,89
Entire home/apt,220,2,21,4.8,43
Private room,41,30,19,0.4,314
Private room,41,30,29,0.6,263
Private room,40,30,12,0.3,234
Private room,39,30,14,0.4,186
Shared room,23,30,19,0.4,281
Entire home/apt,110,3,24,1.9,180
Entire home/apt,325,2,3,2.6,276
Entire home/apt,124,3,14,1.6,334
Private room,79,2,87,5.3,296
Private room,41,30,13,0.3,256
Private room,55,1,89,4.2,288
Entire home/apt,165,3,5,0.9,261
Entire home/apt,99,1,11,0.3,212
Entire home/apt,180,5,1,0.8,234
Private room,85,2,1,0.4,234
Private room,103,1,0,,365
Entire home/apt,225,3,11,2.1,328
Private room,70,1,1,0.2,164
Entire home/apt,143,14,0,,241
Private room,100,1,5,1.2,354
Private room,50,1,0,,7
Private room,57,7,4,0.9,336
Private room,75,1,0,,275
Private room,88,1,43,2,365
Entire home/apt,186,3,16,0.9,353
Entire home/apt,250,4,3,0.1,0
Entire home/apt,125,3,2,0.5,21
Private room,65,1,0,,350
Entire home/apt,200,1,0,,14
Entire home/apt,139,1,7,2.5,317
Private room,99,27,1,0.9,58
Entire home/apt,200,4,0,,40
Entire home/apt,154,3,11,0.7,312
Entire home/apt,250,3,4,0.2,358
Entire home/apt,500,1,2,0.1,365
Private room,50,2,19,1.8,279
Private room,65,5,11,0.3,275
Private room,85,1,0,,365
Private room,95,1,2,0.3,365
Entire home/apt,135,2,162,4.5,243
Entire home/apt,195,3,0,,153
Private room,100,2,2,1,362
Entire home/apt,145,30,4,0.4,259
Entire home/apt,145,3,3,3,33
Private room,70,14,0,,143
Private room,99,1,2,0.8,365
Private room,100,1,1,0.1,249
Private room,100,2,96,2.5,296
Private room,65,1,0,,309
Entire home/apt,149,6,16,0.8,270
Entire home/apt,179,1,61,5.4,291
Entire home/apt,180,2,0,,231
Entire home/apt,349,1,3,0.3,344
Entire home/apt,195,3,21,1.2,81
Private room,95,1,3,0.4,286
Entire home/apt,145,2,99,4.7,201
Entire home/apt,79,1,48,4.2,101
Entire home/apt,347,3,7,4.7,239
Entire home/apt,175,2,83,4,135
Entire home/apt,160,4,3,0.3,133
Shared room,120,1,0,,365
Entire home/apt,129,1,19,2.7,41
Entire home/apt,151,2,2,1.8,122
Private room,100,1,0,,24
Private room,80,1,0,,335
Private room,85,2,2,1.3,99
Shared room,100,1,0,,334
Private room,120,2,2,0.3,124
Private room,50,1,0,,365
Private room,79,1,10,1.5,312
Entire home/apt,240,1,10,0.6,357
Entire home/apt,260,7,1,0.2,189
Shared room,43,1,115,2.6,151
Entire home/apt,275,3,6,1,72
Shared room,55,1,27,1.5,185
Entire home/apt,257,2,49,1.5,
Shared room,43,1,122,2.4,79
Entire home/apt,157,1,154,5.7,249
Shared room,0,2,6,0.3,357
Entire home/apt,255,2,25,1.2,99
Private room,344,1,0,,365
Private room,170,2,2,0.4,185
Entire home/apt,450,1,75,4.4,291
Shared room,43,1,34,1.1,169
Shared room,55,1,15,1,196
Shared room,100,2,4,1.5,73
Private room,135,1,18,1.8,341
Entire home/apt,95,1,5,0.3,184
Entire home/apt,250,2,54,1.5,350
Entire home/apt,142,1,76,6.1,105
Entire home/apt,325,1,4,0.1,365
Shared room,50,30,7,0.6,309
Private room,140,2,38,1.5,319
Entire home/apt,230,3,0,,355
Shared room,50,1,31,5.4,265
Private room,139,3,125,3.6,185
Private room,126,30,4,0.5,249
Entire home/apt,99,2,80,3.5,149
Entire home/apt,159,2,10,0.7,86
Shared room,50,30,11,0.8,302
Entire home/apt,140,2,17,3.2,289
Shared room,80,1,74,3,328
Entire home/apt,240,1,3,0.1,365
Entire home/apt,480,4,7,2.7,203
Entire home/apt,352,4,10,1.6,221
Entire home/apt,950,2,0,,365
Entire home/apt,170,1,53,2.9,247
Entire home/apt,275,2,13,1.2,362
Entire home/apt,250,2,3,2.3,63
Entire home/apt,300,1,0,,26
Private room,168,2,5,1.7,302
Private room,135,2,7,1.5,5
Private room,50,2,17,3.6,322
Entire home/apt,100,3,6,0.3,66
Private room,80,1,2,1,97
Private room,75,1,38,7.6,245
Private room,90,1,5,5,273
Private room,70,7,8,0.4,339
Private room,70,1,5,0.8,335
Entire home/apt,140,10,1,0.2,260
Private room,60,1,8,1.3,316
Private room,73,1,20,2.8,263
Private room,68,1,0,,139
Private room,150,2,0,,365
Entire home/apt,135,3,18,1.7,340
Private room,55,3,0,,20
Entire home/apt,220,6,7,0.3,365
Private room,116,2,7,0.7,339
Private room,90,2,47,3,138
Entire home/apt,130,1,1,0.1,365
Entire home/apt,129,2,7,1.3,290
Entire home/apt,400,3,5,0.2,310
Private room,95,3,19,0.9,349
Private room,100,3,29,1.4,361
Private room,60,2,8,1.1,245
Entire home/apt,275,1,10,4.6,283
Entire home/apt,175,3,75,2.5,335
Private room,60,3,19,1.4,298
Private room,60,3,28,1.8,260
Entire home/apt,259,2,18,1.9,355
Private room,85,1,18,7.7,277
Entire home/apt,120,5,8,0.9,126
Private room,95,2,14,0.4,37
Shared room,39,3,0,,358
Private room,75,2,10,3.8,344
Entire home/apt,200,2,1,0.3,151
Entire home/apt,290,3,5,0.7,258
Private room,70,1,7,0.7,357
Private room,120,2,31,2.1,322
Entire home/apt,125,3,81,3.9,297
Private room,155,1,3,1,78
Entire home/apt,350,4,5,0.1,16
Entire home/apt,449,3,2,0.4,0
Entire home/apt,495,1,55,1.4,356
Entire home/apt,159,3,55,1,4
Entire home/apt,99,2,28,2.7,295
Private room,125,30,37,0.8,319
Entire home/apt,195,2,0,,99
Entire home/apt,250,3,8,0.4,130
Entire home/apt,205,1,0,,162
Entire home/apt,250,4,18,0.8,32
Private room,120,1,303,4.3,178
Private room,75,1,3,0.7,142
Entire home/apt,130,5,6,0.3,123
Entire home/apt,275,2,9,4.5,1
Private room,70,2,0,,1
Private room,250,3,3,0.3,331
Entire home/apt,450,4,8,0.8,198
Private room,120,3,1,1,29
Private room,100,1,9,0.3,365
Entire home/apt,199,6,0,,19
Private room,70,10,0,,360
Shared room,90,1,0,,282
Shared room,55,3,6,2.9,349
Entire home/apt,299,3,7,0.4,3
Private room,125,1,35,3.1,248
Private room,130,2,13,2.7,150
Private room,99,1,4,0.4,360
Entire home/apt,180,14,0,,13
Private room,102,1,4,0.4,122
Entire home/apt,360,3,141,2.5,318
Private room,125,1,3,1.4,63
Private room,92,2,26,1.7,263
Private room,116,4,0,,235
Private room,149,2,0,,235
Private room,135,1,19,1.7,365
Entire home/apt,168,4,167,2.7,11
Private room,90,1,15,3.7,1
Private room,130,2,6,1.7,308
Private room,110,3,1,0.1,231
Private room,110,2,17,1.7,328
Entire home/apt,465,3,10,0.7,335
Private room,175,3,0,,365
Private room,125,2,48,2.3,343
Private room,95,2,6,1.4,30
Private room,165,1,1,0.8,363
Entire home/apt,180,2,9,5.6,252
Entire home/apt,225,2,0,,40
Entire home/apt,299,2,40,1.4,350
Entire home/apt,185,3,8,0.5,136
